clean_text,label
benar hancur negara  dikelola amatiran  kenpak  mengindahkan statementnya sendiri negara miskin koordinasi jangan asal gagah an setalah salah dianulir mana marwahmu wahai mr presiden,anger
budayakan mencari  membaca  bertanya   dijelaskan berkali kok selama  diatur gaada ketentuan khusus pakai ,anger
separuh hati  iri  melihat seorang anak    duduk  berjalan bersama ibundanya  separuh hati  turut berempati melihat seorang anak   gundah  ibundanya sakit  sabar  kawan semoga allah memberikan  terbaik   semua,sadness
 aku tersenyum bukan berarti hidupku sempurna aku  mensyukuri apa  aku punya  apa   tuhan berikan  ku,happy
 mau tdr tidur  bangun tidur kok  kayak merasa aneh  enak hati  dibawa istighfar  aja bangun tidur kayak sedih kayak pikir  puguh   banget coba,sadness
kan kupeluk engkau erat hingga tak  seorang    merebut mu  pelukan ku happy anniversary sayang november bulan,love
kalau mau ganti presiden   jelas siapa calonnya terus diadu program kerjanya  koalisi  ditentuin bisanya cuma buat kaos  tagar,anger
sukses  keren banget  no kualitas bhn krja  cita punya  warisan   cu sukses tims bbpjn barakat terlimpahkan,happy
 mau sarjana kali mbokya mulut nya jangan ketinggalan buat belajar sekiranya   perlu diungkapkan menambah dosa menyakiti hati orangnya mending diam baik lah kasihan  nya   julidin sama orang,anger
bagaimana orang  nilai  jilbab syari  nya kadang gemas sama orang  dikelas diam baik eh  grup wa bisanya  nyeletuk mengarah  sosial harassment,anger
hari  jadwal presentasi program kerja  lppm   praktikum jadinya pak ketua  temani sekretaris  selaku penanggung jawab   sekretaris jadi deg deg an  bismillah pak ketua btw  unggah foto pak ketua  jangan dulu yaa,fear
foto   instagram   cuma lupa password instanya jadi    buka   salah pemerintah  instagram   pakai password segala   lupa kan gue begoloe,anger
drama kemarin sore seharian puasa terus pas  mandi kaget bcz kedatangan tamu tak diundang pas banget woi pas  azan maghrib terus jadi galau dong seharian  dianggap sah puasa apa enggak,fear
sungguh mencintaimu berat sekali berpisah denganmu  hadiahperasaan selalu bikin bawa perasaan  sukses melupakan laper,sadness
pas  dikirim  sih kurir telepon mengeluh  malas gerak buat mengantar  alamat  bener malah meminta ketemuan  titik   tau itupun   mau susah no putar balik  searah sama arah kendaraan  jalan,anger
 akhirnya   melewati semua  semua  dulu  bayangkan betapa sulitnya  lalui   akhir    belajar belajar  belajar memetik semua hikmah    petik mempersiapkan  kedepan,happy
 pasangan seringkali diibaratkan  rumah  rasa nyaman bersamanya senyaman berada  rumah kamu  jadi apa  kamu selalu pulang menujunya,love
 tau kalau rasa sakit hati memamg sulit   kala nya   jenjang rumah tangga jangan lah  publikan situasi   media  jahat  menyelesaikan masalah  terlontarnya kata  kata,fear
ponakan kelas sd  suka menonton video tutorial masak craft youtube gue kelas sd  baca novel marga t amp mira w pinjam punya sepupu,happy
beberapa tahun kemudian kesejahteraan keluarga emak emak  terus meningkat sampailah suaminya   pangkat  tinggi kurang paham   pangkat an  tni pokoknya  hidup bekecukupan,happy
bukan  mendukung  mendoakan cuma menyikapi apa    pilihanmu  berupayalah mempertahankannya disini aku  jauh  bahagia  melihatmu sedih kebahagianku pudar   kala  menerima undangan pernikahanmu,sadness
jne jnt selama  pakai entah kirim paket beli olshop jastip  luar kota  beda pulau maksimal hari  mau   pakai mobil susah cari alamat bingung   masuk kompleks gang meski malam sekalipun dibela jalan  rumah  paketan terkirim  baik,happy
gemas banget sama orang   menganggap wajar pelecehan sexual  verbal mau verbal  fisik  apapun  tetap  dibenarkan,anger
apa hukumnya bermain musik stad jelas haroooom hukumnya berdosa  memainkannya begitulah kira kira percakapan  terjadi  penanya  seorang ustad  sebuah acara televisi  intronya pakai musik,fear
apa hebatnya mardani   oeang  cuma besar mulut  faktanya     menyebutkan calon presiden   kalau koalisinya  partai keadilan sejahtera  gerindra enggak mungkin lah yaow,anger
 iya ibu nya melahirkan anak   cewek   tahu tahun berapa nya lanjut  tadi baru  setahun  kasih kenikmatan datang  ujian buat sih emak emak kali  mungkin berat   tinggal suaminya meninggal seketika ibu  jadi singel parent,sadness
z suka twitter soalny perempuan ji semua temanku  sini biar mengomel  tablengker ndada bahayanya bahas monsteration  bebas bahas  puasa  bebas  wa mau pembaruan status streskan monsteration   pi dulu blok semua cowok baru mengupdate,happy
enggak mengerti  sama ciwi ciwi  nyinyir via vallen    korban loh sesusah itukah  saling support satu sama  gzz,anger
hari  libur rencananya mau menonton jurassic world  sepertinya  jadi deh mengingat kondisi   fit banget  sebel rusak rencana sebelanga kesal aku ,anger
nah   menunggu anak anteng  kesabaran seluas samudra terus bapaknya datang bikin anak nangis hmmm kuingin marah melampiaskan,anger
ku rindu bisik mu  telingaku  kamu berkata semoga kelak kamu menjadi anak  berguna  banyak orang  semoga kamu selalu menyayangi  orang tua mu,love
 hasil sekolah asal sekolah mikirlah mahkamah internasional  punya kewenangan mengadili perkara genosida  sebagainya,anger
lah kamu  harusnya ditanya teh   berasumsi gue  kacang  kulit maksudnya apa hayo  sana  kan maksud loooo,anger
web permata kurang profesional  program cashback ribu token pln waktu  klik info masuknya  program paket kuota data bagaimana iki,anger
nah   takutkan  mas   tumpangi politik dibalut agama   bahaya soalnya masyarakat  sedang sensitif   tersebut,fear
mau cerita kesiapa kalau  kayak begini hancur hidup  pikirkan dong bagaimana hati ku aku sedih aku menangis  menetes air mata  kayaknya lirik lagu sayang pia palen deh wkwk,sadness
 hari puasa  saur  pernah kesiangan akhirnya  hari  merasakan makan saur supeerrr dupeerr ekspress menit  imsak baru bangun yassalaaam,sadness
jadi  tunjangan hari raya   apbd  punya kuasa takut kalau kalau  garis bawahi sama kpk  jadilah  gagal  tunjangan hari raya tahun  kok    buk menteri bilang aman   ketakutan,fear
 bantu    lptop   kali kok   buka dokumen  not responding pdhal  pernah dibawa  handphone center semoga  lptop  termasuk produk gagal  gimana beli maret  kalau begini terus kan jadi jgkel sndri,anger
  masuk  proses penjualan  pas dibuka detail kok malah gini  produk sedang diproses  diproses tanggal,anger
semen indonesia  menambang lah  rembang malah  perusahaan  lokasi  meter  areal tambang semen  pernah diprotes    bertahun lamanya knp kok pas semen diprotes,anger
siapa  bilang punya anak menyenangkan terus sodorin anak  tantrum  mengantuk   mau bobo istigfar kencang,anger
merasa beloon  tahu      bicarakan  orang  nah kelalaian malah sebaliknya jadi malah mengubah siklus  alur waktu    terjadi,sadness
punya sahabat cowok nih  sering nya  konsisten terus sering bohong   sih  berkali dimarahi  sering bohong   mempan  apa kodratnya suka bohong apa gimana,anger
kalau tau  libur panjang  lebaran  rasanya  cepat gendong cerrier pakai sepatu terus pergi ketemu alam  berdamai dengannya,happy
siapa bilang kafir gabung sama khilafah bro jangan alihkan isu   siapa penyelundup  kaum bumidatar se olah pro pancasila,anger
by the way doa restu orang tua  memang gilingan  pas  mentok mencari literatur tambahan menemukan  dong  rumah padahal  kemarin  panik  memesan  banyumas   berkah ramadan,happy
salah satu contoh  tau berterima kasih padahal datang pas  terkenal pi wannaone ckckckc  dulu berjuang siapa jawab sendiri sama kok deh  one s swing entertainment warns legal action against fansite masters via,anger
 pagi merasakan sakit perut kiraan mau haid  beli kiranti pas  cek malah    atulah haid sekarang aja biar  ikut salat idulfitri,fear
turut berduka cita buat kawan a cak semoga keluarga   tinggalkan a   beri kesabaran amp meridoi kepergian alm sajete wani,sadness
jaringannya mati    dibuka mobile jkn  mau  puskesmes terus bagaimana mau tunjukan kartu elektoniknya kecewa,anger
kamu  lahir   sekolah bong  rasa  bapak kamu partai komunis indonesia bong bandit rampok  sejenis  menganggu orang banyak pak soeharto dibilang kejam   orang partai komunis indonesia bandit rampok bong bong bongakkk,anger
   usaha terus sekarang jadi karyawan macam gue  bawaannye  usaha     mengatur flexible lebih banyak duit faaak,anger
salah satu efek merapi sama bom  orang  mau bikin event negara  takut  yoyakarta  indonesia  jadi aku   event internasional  beberapa negara  konfirmasi  takut sama merapi sama teror  semoga merapi lekas reda semoga   bom ,sadness
baiknya gubernur anies baswedan dimosi  percaya biar lengser,anger
kaum oposisi  bikin geger an  media termsk media sosial  rupiah menguat musim ribut nya khusus waktu terjadi pelemahan   menyalahkan semuanya  presiden,anger
 puasa   pagi  kesana kemari membawa alamat eh ayuting kalee enggk ding   siang tetangga sebelah goreng telur yah kan baunya  hidung gue hikss bagaimana sih mbak,sadness
heee aku kemarin melihat hoaks tetangga pohon plastik pertama kali  akun  ygdisebarkan lewat facebook  bukan  nol besar  sekaligus menonjok muka junjungan sadar terima kasih,anger
min  gimana kurirnya salah kirim malah  alamat orang terus pertanggung jawabannya gimana  respon secepatnya thanks,anger
 pas banget gue habis baca buku  bule pendekatan bilang carikan rumah sama mobil dicariin mobil sama rumah mewah sih bule oke  niat kirim uang  juta  pakai pos bilang sama hadiah    masuk akal kirim  sebanyak  pakai pos,fear
masalahnya  uang buat konsumsi buka puasa bareng anak yatim   dibayarkan  katering,anger
niat  masjid salat nya  lantai berharap  obob manjah  biasanya  banyak  salat disini fact fullhouse mpe shaf belakang bhay,sadness
paling excited kalau mengobrol sama orang kreatif siap  kalau bakal tercengang sama ide   mungkin  pernah terpikirkan olehmu  iya  aku baru kepikiran,happy
miris menciptakan karya  susah payah  menguras pikiran tenaga waktu  materi kalah  oknum  menjiplak   sekadar terima beres memanfaatkan karya orang   gimmik  sensasi bagaimana ,anger
sebelah mana stereotyping nya  pernyataan  coba ditunjukkan siapa tahu  salah bicara bagus dong kalau banyak  mengecam semakin banyak makin terdengar suara  kebenaran semakin bagus kalau benar  kalah keras sama  salah    diatasi,anger
tipikal cowok menye menye banget ni paling   diajak argumen menyalahkan orang  mengeluh terus nih manusia maha sempurna  memaki goblok  puasa,anger
tiada henti nya aku mengucap syukut alhmdllh sekarang aku bsa uang jadi panitia kemarin alhamdulillah trmkah kamu bank rakyat indonesia brlmpah meski tak sbrpa inysllh lama mmbukit amn,happy
kamu mau berbicara apa kayaknya kamu dendam  anies pernah disakiti  gubernur anies salah apa anies kpdmu knp dendam kamu klmpok daerah khusus ibukota   puny gub anies bukan  tempatnya kamu maki anies salah,anger
  grup keluarga   membicarakan mudik duuh  mudik  apa daya suami libur cuma hari  hari h lebaran   kalau   telepon disuruh masuk tahun lalu malah habis salat eid langsung kerja,sadness
orang  pernah kalah  pertarungan politik sulit   disembuhkan     meraih impian   kehilangan banyak harta,sadness
nggada sinyal  rumah membuatku banyak berfikir berpikir doang  pikiran  mana mana random    ,sadness
 kabar kasus tuduhan chat mesum  imam besar habib rizieq  dihentikan mohon bantu doa semoga benar adanya semoga kesucian ramadan membuka mata hati bapak   menyidik amin,fear
jangan ngecengin gue   guys orang    blog nya   walaupun menulisnya enggak jam dini hari sih,fear
cari orang  selalu menyudutkan ansor sabar  bagus  kalau terus menerus difitnah disalahkan jangan tinggal diam saatnya,anger
halohaa selamat siang denise  pulang sekolah  nih jangan lupa makan siang   iya bagaimana  sehatan kan kamu kalau memang  kurang sehat  perbanyak istirahat  sekarang kakak selalu menunggu kok tweet  k,love
 lah bodoh mu bong disuruh baca  mau baca pbb cikal bakalnya  masyumi pbb keluarga besar bulan bintang masyumi dasar bong,anger
mudah an  terupload semua  z mudik  fan modal kuota  butuh daerah  jaringan  bagus hiksss hitungan jam  baru slsi kalau z mau unduh   rumahku pi,fear
orang pendukung khilafah memang   black mail,anger
jangan sok akrab iya mention mention gue maling dulu   benar  kalau  sukses jadi malingnye baru gue balas berbalas mention kamu kamu  salamsatunyalilari bonekjancuk,anger
alhamdulillah prof  berbicara semalam  adem rasanya semoga membawa keberkahan amin  rabi aalamiin,happy
keren kira kira   enggak  bilang pak anti islam triliun hektar jadi kampus rujukan islam dunia sekelas al azhar   proyek ponpes madrasah masjid  fasilitas umat  kalau    bilang beliau an,happy
 kan datang  bertanya kemudian mengobrol  sama mbak mbak help desk   tetap  mengerti    jawaban  menjawab pertanyaan  terus mbaknya lama lama  emosi   makin  terjawab dong terus  pulang,anger
sering  gue dibegitukan pas kalau baru ketemu apsara  kok perawatannya makin banyak makin gendut  sih wah senyum  iya in   hati bacot kamu anjing,anger
kalau sifat buruk mungkin  diubah  bertambahnya umur  berubahnya keadaan kalau kebiasaan buruk mungkin sulit   semacam  jadi hobi   sih,fear
berdesakan bejubelan  kereta listrik  salah satu godaan  berpuasa   depan nya  wanita cantik  mengunyah tahu gejrot hehe,fear
belanjaitugakribet ternyata cuma slogan doang stelah dkomplen ternyata dbatalin sepihak  nama besar   jaminan keprofesionalan  trus menyampaikan  pihak official store kalau   batalin pdhl sama sekali   batalin jd sekarang   tau kal,anger
happy birthday to us and happy tahun anniv wkwk bentar   putus huhu aku  cari pacar baru,happy
terus baca komen nya  bilang kalau musik  haram  bla bla nah  sini aku tau kalau fanatik kan memang gaboleh  kalau sekadar suka  gimana,fear
rabu anakbujangku selesai menempuh pendidikan  tk bhakti ibu bakauheni eit ternyata   piala  hehe,happy
 hidup dizaman presiden hebat  soeharto beliau buat aman  tenang  masyarakat   tenang  kaum partai komunis indonesia kaum rampok kaum bandit kaum   jadi pejabat negara  otaknya kosong  kaum    suka bapak soeharto,anger
bersama segenap dewan guru terima kasih  membimbing anak  selama  bu semoga ibu ibu semua dimudahkan segala urusannya  ilmu  ibu ajarkan menjadi amal jariah  pahalanya  terus mengalir  ibu selamanya,happy
gue memang cuek sih banget banget malah  kalau   buat risih   nyaman  hati  lah pokoknya jangan  gue ajak nongkrong breng,anger
    dianugerahi gigi rapi  lahir bersyukah  pakai behel ternyata lebih sakit  sakit hati menurutguesih,sadness
alhamdulillah pie  rumah sakit umum pusat kariadi  benar diurus jadi   panas tinggi  soalnya langsung dikasih paracetamol  botolan,happy
melihat  terlalu banyak proyek  jatuhnya malah jadi scam  fraud asli gue  coba deh bawa  sama creator creator    bawa kabur duit banyak orang termasuk gue  ranah hukum indonesia,anger
soal via vallen gue sepakat sama nikita mirzani jangan lebay kalau  suka  gituin tinggal tolak  blok  orang jangan  bagikan jadi konsumsi publik kayak  menampilkan kepolosan tak berdosa bagaimana gituu menurutkusih,anger
baru ngerusuh  balai desa terus pas mau pulang tadi bu lurah nanya mba ulfah  temannya  satu  mana sih kok  kelihatan hah teman  buk o o bu lurah iya  biasa bareng  senin  berangkat lho wait  senin,fear
mbak pps tuh   apa apa mbak ulfa   merasa  kok   sebentar sebentar    sih  senin  berangkat bikin khawatir  t t,fear
aduh   satu cewek   pikirannya jahat jari jarinya jahat dinikmati he mbak memang penyanyi dangdut  auto lonte lonte   kena sexual harassment mbaaaak,anger
kamu  sih galau mulu kamu kalau galau banyak diem kalau  senang   diem mangat dong kak nanas senang   nularin  orang loh wkwk,sadness
 berjuta kali bong dikasih tau pak harto  kejam partai komunis indonesia bandit rampok kamu keturunan kelompok mana bong haha,anger
sebentar  ketemu krucil krucil ponakan  menggemaskan banget suka nya meminta main berantem beranteman seru sih meskipun  risiko  pegel pegel nantinya sedikit sedikit  mengajarkan berhitung  jadilebihbaik   pas masuk sekolah,happy
lalu bagaimana  negara   kehilangan banyak pendapatan  cukai rokok hutang negara  semakin banyak ah  kan  pembenaranmu  coba lihat  bagaimana apa pendapatmu  sama,anger
eh  numbuhin brewok  buat menyenangkan diri sendiri sih compliment  sesama cowok bonus lah   dirawat sedikit langsung tumbuh liar  gatal banget,fear
indekos dekat kantor datang paling telat terus kalau siang tidur  selonjoran  sofa teman kantor kayak begini memang perlu diejek tai sih,anger
sih    seenak dewe melepaskan tanggung jawab  backers cuma berdasarkan toc  kickstarter selaku penyedia platform crowd funding creators  backers toc tetap tunduk  hukum  berlaku  governing law sih toc gue mau cari legal loophole nya,anger
 anak sama habis perpisahan  semacam wisuda sekolah foto bareng sama temen temennya sejawat  pakai kebaya lalu  post  instagram  caption  siapa   bakal nikah duluan ku langsung tertunduk lesu    minum ekstra joss cuk,sadness
awak sih jadi orang slow mau  mengomongkan a to z asal ale banyak makan  cranky berat naik  bahagia masalah apapun jadi kayak   ibu banget sih sekarang,happy
ganti presiden siapa takut  siapa calonnya apa sih   onoh ih  syudih,anger
 penipu kasihan ibu kota negara gue  pimpin sama   haus jabatan  mementingkan rakyatnya tai buat,anger
perginya diantar sama teman  bawa hp  janjian biar dijemput jam setengah  sayanya ketiduran   jemput  nongol bingung mau gmna akhirnya jalan kaki km siang bolong ngeri kali lahh vanashh syekaleh vemirsyahh,fear
iya kamu laki laki sang pengambil keputusan  kan aku   dianggap diajak berdiskusi dimintai pendapat diajak mencari jalan keluar  sekadar ditenangkan kecemasannya aku   jangan hidup sendiri,sadness
akhirnya  berkata  aku  mau sakit  migrain   datang   banyak nya masalah  membutuhkan tenaga mikir  bentar   mudik  allah  coba,sadness
 cerita  kemarin  sempet beberapa hari  lalu tarawih  masjid  konsentrasi banget posisi  apes bagaimana gak posisi salat  shaf depan  mas pakai sarung terus sarung nya menjiplak pantatnya pas banget ketat kampret  tertawa   solat syit,happy
selamat semoga dilancarkan   kesempatan memandang orang orang  panggung break a leg,happy
 jamin deh  bagaimana pak police siap  kerja  pungutan liar  sejenisnya korup pungutan liar  bagai addicted sekali nyoba keenakan menambah  deh generasiantikorupsi,fear
looh kok merendahkan semangat perlindungan perempuan sih justru jadi cewek   tegas  galak sama laki kayak gitu  blok  udah ngapain  bagikan  se indonesia tau,anger
 semingguan   kabar wkwk akunya sibuk mengurus rapot sama ijazah anak terus  bertanya kabarnya   selama seminggu sahabat macam apa kamu,sadness
haaaa syabar ajaaa beloman waktunya buat ikutttt pemerintah ajanihhh  ketumbenan memberi liburnya kepanjangaaannnnnn,sadness
dimohon jangan paksa  buat include dmn harap sopan  jelas kalau mau bo jangan labil  jelas will be block     taatin rule  utamakan,anger
pembukaan  pernah  amandemen cebong busuk atas berkat rahmat allah  maha kuasa kamu baca pembukaan undang undang dasar  situ semua dasar negara r i bong o memang bongak,anger
apa sih susahnya mengapresiasi sedikit  sama apa   dilakukan oranglain  memberi hak nya tepat waktu dikira gapnya kebutuhan kali  giliran masalah pekerjaan no mau  ijin libur tetap  dihajar trs ketjewalah ,anger
 tutup matalah krn pejabat bukan cuma pintar  tau etika masa  satu kabinet main nyerang berani iya berani  etika  mana memang kabinet gundul,anger
apa  ramai pikir mencari baju lebaran memang   kalau aku  tiap hari pakai baju lebaran soalnya kalau pakai baju sempitan ngaaap iyainajabiarcepet,happy
lewat tengah hari semoga harimu menyenangkan  yuk semangat,happy
gue  biasa beli shopee pakai atm manual asal cocok jumlahnya  verifikasi otomatis eh  keenakan jadi teledor pakai akun sepupu gue malah  otomatis pesanannnya kecancel  allah malih gue kapan  berhenti goblok,sadness
sepertinya gue kalau shopee memang jangan menitip akun orang deh mau irit ongkos kirim apa gmana dulu menitip firsta pesan lenti donghan  datang boneka pokemon,sadness
terima kasih teman hmj  keperawatan stikes al irsyad cilacap  berbagi kebahagiaan bersama mbah kakung  mbah putri,happy
gue enggak suka enggak senang sama  namanya maling cuma gue   senang kalau maling digebuki  bonyok banget   dibakar  dibunuh,sadness
manusia rakus bunda menteri  advokat dirampok  banyak tahu rahasia negara waktu  istana sama orba bandit banget,anger
perusahaan listrik negara memang php surat edaran maintain daerah a  jam  sekarang  jam listrik  hidup jg kalau telat sedikit bayar tagihan langsung denda  kalau mati listrik mulu  potongan gak,anger
 supporter gue  suka barca   pencinta sepak bola gue suka  film keren lah heartofalio,happy
konyol banget mbak komentar  main ignore  dikira   sepele banget   nyaman makanya  publish biar memberi pelajaran buat orang  mau punya niat goda biar  meneruskan niatnya kalau    permaluin reminder  bua,anger
fahri aktivis nol isinya mana reformasi mu enggak mengubah apapun  koar koar bebas  negeriku mustinya golkar kamu bubarin harto diturunkan golkar melenggang jaya kata amien raisa bodoh,anger
thread  dipersembahkan  wanita  permisif  pelecehan  dialami wanita lainnya  alasan kejadian   banyak terjadi     mengadukan khanmaen,anger
  lebih menggelikan ketimbang kasus sexual harassment  menimpa via vallen  politisi amp partai politik memanfaatkannya  panggung pertunjukan  dalih pembelaan korban hilihkinthil,anger
kok sih drummer  lucu sih mukanya kayak tengil  ngegemesin terus mulai dibiasin sereceh  gue punya bias,happy
macet parah  kemang  sebelah mobil gue terparkir gerobak mie ayam  luar biasa menggugah selera padahal baru melihat gerobaknya doank,sadness
pernah ngomel  dibeginikan terus bang ojolnya malah menyolot bilang kalau ikutan macet jalan normal   rugi neng bensinnya jauh mbak memuter baliknya rugi  wth,anger
selamat ulang tahun my lovely istri amie amoy wish kamu all the best semoga selalu berada   perlindungan swt panjang umur senantiasa bahagia bersama keluarga  kerabat sehat selalu semakin banyak rejeki  selalu menjadi wanita  hebat  keluarga aamiin,happy
kesatuan  mana bong haha habibie mencopot jabatan pak prabowo  ulah sih wiranto  wiranto dipakai habibie  jadi pangab tragedi    bertanggung jawab pangab bong bongak  menembak polisi,anger
baik kalau soal ham mau tanya koruptor waktu maling mikirkan hak orang   koruptor  sendiri  pelanggar ham cuma koruptor  bela koruptor politisi bebal,anger
kamu  lahir bong tanya sama mak mu biar jelas partai komunis indonesia  zaman soekarno bong berlanjut  orde baru lalu  basmi  jadi salahsatunya keluargamu ,anger
jangan  viralkan  oposisi  biasa nyinyir kejang sakit jantung kalau sakit hatinya memang  kronis sulit  disembuhkan,fear
tertawa  lihatnya wkwk,happy
 coba hubungi   cakung  meminta  wa balik  tanya prosedur pembelian  hari sejak jumat  difollow up   service maksindo,anger
teman nya laki gue almarhumah tahun meninggal waktu  hidup ngintil   laki alh gue mlangkah mengikut suka nlpon nelpn kekantor perpanjangan katakata nya suamiku almarhumah waktu jatuh cinta kasihan   dtang  rmah duka rumah sakit husada orang nya senang tertawa comblang laki ku hdhhh sedih,sadness
woah buat urusan difitnah dimusuhin dibuat  mau sekolah gara    mau temenan trauma  minggu malam  besok paginya sekolah dibuat malu  depan banyak orang aku  melewati  semua,sadness
rencana  pulang mau garap project ternyata  tersentuh sama sekali tau begini mah pulang weh  minggu kemaren hm hikmah ramadhan mungkin memang perlu melewati   buat belajar ,sadness
  tindakan  bukan pelecehan seksual benar kan kata gw ilmunya   dapet jadi  mengerti deh apa apa   termasuk pelecehan sexual,sadness
dear  kirim dokumen penting  jakarta susilo bambang yudhoyono makanya  pakai yes kirim senin juni   selasa juni sekarang  hari rabu     kan bikin esmosi   bayar lebih pakai iya    sehari no resi ,anger
yaelah kamu   partai sapi kurang kelon kamu junjungan kamu  punya nyali kalah sama ahok berani hadapi kasus lebaran  tiba jik pulanglah    peler,anger
 mama murid  rikues anaknya masuk  kelas     sama banyak murid  putus asa  tau bakal masuk  kelas   rumor  beredar  guru galak,sadness
siapa  melakukan   aku  teman teman  paling banyak  perempuan    heran melihat perempuan dijahatin sesama perempuan aku  mengalami,sadness
 sekarang  entah sejak kapan pemikiran gue berubah kalau gue kepikiran  bagikan   gila gue  pikir x  tulis  twitter ig  jempol warganet tak  dikalahkan,fear
nah  keterlaluan  kalau  pjbt eselon  menyalah kan pelaksananya atas suatu kesalahan dokumen   ttd paraf istilahnya  mau disalahkan padahal tugasnya pejabat  iya neliti dokumen  dittd paraf  tgjawab atas isinya,anger
jadi kayak kebalik gitu dulu media sosial jadi escape buat gue ekspresiin kegilaan sekarang berhubung media sosial jadi lebih seram  dunia nyata eh jadi dunia nyata  gue jadikan escape  socmed,fear
namanya  sengkuni pak janji mau jalan kaki yoyakarta jakarta   dipenuhi sengkuni sengkuni,anger
ku sadari satu pilihan ku bersamamu  tempat  jalani hari  semangat  baru  tak seindah  ku harapkan tak seburuk  ku bayangkan ku tetap berdiri jalani hari penuh warna yg mengerti   nyanyi,happy
maklum pak jakarta  sarang gerombolan radikal  ditinggal kabur pentolannya  makkah,anger
dukaku  tak mampu katakan sedih ku  sakit ku iniserius seriuscumatulisan tulisandarilubuhhati hatiyangcukupdalam tapigakdalamdalambanget emot mekkel sip,sadness
enak  metal bong tidur  hotel prodeo  pecat mak mega haha makanya jangan sok metal kamu selesai hidup lo terjerat ott partai demokrasi indonesia perjuangan pecat bupati purbalingga lewat,anger
waktu indonesia bagian barat  benar benar kehilangan sosok laki laki  merawat   kecil mendidik  merawat  melindungi    benar benar kehilangan semoga tenang disana semoga anakmu   menjadi anak  berguna,sadness
video   atas  tulisannya dulu  pas kapan  indonesia lawyers club   bahas  apa  iya kecewa sama pak mahfud islamselamatkannegeri sedihrasanya,sadness
boi  gimane nih wifi gangguan mulu jangan mau kalah lah sama indie home kalau  besok  gangguan gue pakai indie home  lah,anger
baca buku   awal senyum ditengah tengah senyum miris diakhir senyum pasrah terima kasih bung bukugariswaktu fiersabesari,happy
 heran sih sama driver gocar  mengeluh macet sama kayak gue mengeluh pas  kerja terserah deh pak  pura  denger cape  soalnya,anger
