Artist,Title songs,Popularity,label
Ten2Five,Love Is You,53,2
James Taylor,Rock 'n' Roll Is Music Now - 2019 Remaster,18,0
ZZ Top,Sharp Dressed Man - 2008 Remaster,73,4
Coleman Hawkins,Prisoner Of Love,54,3
My Chemical Romance,Welcome to the Black Parade,79,4
MARINA,Bubblegum Bitch,80,0
Halsey,Without Me,78,0
Waylon Jennings,"Theme from ""The Dukes of Hazzard"" (Good Ol' Boys)",54,0
Vundabar,Alien Blues,78,3
Tim McGraw,Here Tonight,36,4
OJ Son,Oh Baby,24,0
Rezan,Dawi (Outro),0,4
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,84,0
Wolfgang Amadeus Mozart,"Requiem in D Minor, K. 626: III. Seq. 6, Lacrymosa",0,3
Simple Minds,Don't You (Forget About Me),75,0
Eddie Rabbitt,Two Dollars in the Jukebox - 2008 Remaster,47,0
Survivor,Rockin' Into the Night,20,0
Mujo,Space Fern,57,3
X Ambassadors,Unsteady,76,4
Stephanie Poetri,IRL,26,2
Chrisye,Seperti Yang Kau Minta,53,4
Wolfgang Amadeus Mozart,"Violin Concerto No. 4 in D Major, K. 218: II. Andante cantabile",0,3
Merle Haggard,Pancho and Lefty,19,2
Wolfgang Amadeus Mozart,"Ave verum corpus, K. 618",0,3
Dylan Scott,My Girl,68,4
Kanye West,Heartless,81,0
Drake,Up All Night,63,4
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),75,0
The Outlaws,Southern Rock Will Never Die,28,4
Jason Mraz,I'm Yours,82,2
Johann Sebastian Bach,"Orchestral Suite No. 1 in C Major, BWV 1066: IV. Forlane",0,3
Rich Brian,Love In My Pocket,30,0
Johann Sebastian Bach,"Weichet nur, betrübte Schatten, BWV 202 ""Wedding Cantata"": IX. Gavotte, Sehet in Zufriedenheit",0,2
BTS,Butterfly (Prologue Mix),59,4
J-Rocks,Fallin' In Love - Indonesian Version,30,0
Galdive,Prelude,33,2
Lauren Alaina,Enough (Reprise),36,4
EST Gee,Hit Maker,45,0
Drake,Champagne Poetry,83,2
Jelly Roll,Just Can't Quit,50,4
Trace Adkins,Every Light In The House,20,2
SAINt JHN,Roses - Imanbek Remix,71,0
AJR,Burn The House Down,70,4
George Jones,He Stopped Loving Her Today,19,2
Jimmy Buffett,Jingle Bell Rock,30,2
Ludovico Einaudi,Una Mattina,0,3
Summer Walker,No Love (with SZA),84,0
David Cassidy,Rock Me Baby,15,0
Jelly Roll,Cigarette,28,0
Rick Springfield,Jessie's Girl,22,0
Parmalee,I'll Bring the Music,25,0
The Band,Don't Do It - Live At The Academy Of Music / 1971,23,1
The Fixx,Privilege - Live,13,1
YUKIKA,NEON,56,0
Ty Dolla $ign,Spicy (feat. Post Malone),80,4
Zainal Abidin,Medley: Debu Liar / Bahagia - Live,0,4
Naif,Alangkah Indahnya Indonesia,27,0
TWICE,ESPRESSO,69,0
TWICE,UP NO MORE,64,0
2 Chainz,No Lie,62,0
Fuat Saka,Rapatma 3 - Sisa,5,0
Adem Tepe,Tê Kengî Bê,9,2
Ed Sheeran,Shape of You,87,0
Sheila On 7,Melompat Lebih Tinggi,57,0
Hwa Sa,FOMO,60,2
Johnny Mathis,Misty,59,2
Miley Cyrus,Plastic Hearts,74,0
Baby Keem,range brothers (with Kendrick Lamar),78,4
Foghat,"Ride, Ride, Ride",11,0
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,84,0
Juice WRLD,Armed And Dangerous,80,0
Ramengvrl,Fake Friends,48,4
Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",73,0
Future,Mask Off,82,4
Ten2Five,Rasa Sayange,20,0
fromis_9,LOVE BOMB,59,0
Christina Perri,A Thousand Years,81,4
NIKI,Lose,59,2
Adele,Someone Like You,82,2
PSY,Gentleman,63,0
Vendla,Don't Open Your Eyes,62,3
Bryson Tiller,lonely christmas (feat. Justin Bieber & Poo Bear),66,0
38 Special,Rockin' Into The Night,37,0
Tangga,Cinta Tak Mungkin Berhenti,61,2
Jimmy Eat World,The Middle,80,0
Bonobo,Cirrus,59,3
LISA,MONEY,92,4
John Denver,"Follow Me / Leaving, on a Jet Plane - Live at Red Rocks, CO - August 1973",19,1
Télépopmusik,Breathe,64,0
Shy Glizzy,White Girl,76,4
Asia,Heat Of The Moment,22,1
Ricky Nelson,Poor Little Fool - Remastered,58,2
Drake,Way 2 Sexy (with Future & Young Thug),91,4
Collective Soul,Shine,71,4
Wolfgang Amadeus Mozart,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",0,3
Led Zeppelin,Immigrant Song - Remaster,78,0
Harry Styles,"Sunflower, Vol. 6",75,0
STAYC,STEREOTYPE,79,1
AC/DC,You Shook Me All Night Long,80,0
CHUNG HA,Killing Me,68,0
John Denver,Rocky Mountain High,30,1
Flying Lotus,Black Gold,56,4
Billy Squier,The Stroke - Remastered,69,2
Lady Gaga,Just Dance,73,0
Bruno Mars,Put On A Smile,79,4
AVIWKILA,"I Like You so Much, You’ll Know It",60,2
BLACKPINK,STAY,71,2
Lukas Graham,7 Years,80,4
Twenty One Pilots,Level of Concern,72,0
NCT 127,Cherry Bomb,67,0
BIBI,BINU,58,2
Stray Kids,Ex,61,2
Icona Pop,I Love It (feat. Charli XCX),69,0
Taylor Swift,The Lucky One (Taylor's Version),80,0
Marcell,Adventure Of A Lifetime,43,2
Eddie Rabbitt,Rocky Mountain Music,33,0
Tom Petty,I Won't Back Down,73,0
Foreigner,Dirty White Boy - Live,13,1
Pamungkas,One Only - Acoustic,58,4
Sean Kingston,Fire Burning,72,0
Akon,I Wanna Love You,67,4
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Three - For The Third Day Of Christmas: No. 27 Rezitativ: ""Er hat sein Volk getröst""",0,2
Harry Styles,Falling,86,2
The Band,"Like A Rolling Stone - Live At The Academy Of Music, New York, 1971 / Remastered 2001",29,1
The Pussycat Dolls,When I Grow Up,74,4
Mc Kresha,I Re Pishmon,32,0
NCT 127,gimme gimme,63,1
LouiVos,Shakeyy,3,0
Darius,Espoir,61,3
Labrinth,Still Don't Know My Name,80,2
Yovie & Nuno,Merindu Lagi (Pada Kekasih Orang),59,0
Boston,More Than a Feeling,20,4
Seether,Fake It,75,0
BTS,Life Goes On,83,4
Peterpan,Menghapus Jejakmu,58,0
Erik Satie,Gymnopédie No. 1,71,3
Neil Diamond,Love On The Rocks - Live,21,1
Alex Porat,bubblegum,38,0
REO Speedwagon,Roll With the Changes,20,1
The Band,"(I Don't Want To) Hang Up My Rock And Roll Shoes - Live At The Academy Of Music, New York, 1971 / Remastered 2001",16,1
Drake,Girls Want Girls (with Lil Baby),87,4
The Monkees,I'm a Believer - 2006 Remaster,74,2
Norah Jones,Come Away With Me,1,2
BTS,Make It Right,63,4
Bebe Rexha,I'm a Mess,76,4
Samet Kölemen,Rapatma,3,4
Kendrick Lamar,All The Stars (with SZA),81,0
The Fixx,The Fool - Live,14,1
LouiVos,Jah!,4,0
Katy Perry,Teenage Dream,70,0
Califone,Movie Music Kills A Kiss,19,2
Mario,Let Me Love You,75,0
Steely Dan,Do It Again,70,0
cellosux,SSSTUPID,32,4
Raperin,Tu Dibare,9,2
Galdive,Cloud,38,0
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,67,0
Tech N9ne,Fragile,59,0
Taylor Swift,Christmas Tree Farm,6,4
Pat Benatar,We Belong,16,4
Drive,Melepasmu,57,4
Dan + Shay,Tequila,73,4
NIKI,odds,50,2
Billy Squier,Lonely Is The Night,26,0
Rae Sremmurd,Black Beatles,77,4
BLACKPINK,Forever Young,69,4
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Four - For New Year's Day: No. 40 Rezitativ: ""Wohlan, dein Name soll allein"" Arioso (Chor-Sopran): ""Jesu mein Freud und Wonne""",0,2
Adele,Skyfall,81,2
Bruno Mars,Smokin Out The Window,81,0
P!nk,Just Give Me a Reason (feat. Nate Ruess),82,4
Music Travel Love,I Will Always Love You (Acoustic),49,4
TWICE,Likey,69,2
The Killers,Somebody Told Me,67,0
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,1,2
Bob Dylan,"The Lonesome Death of Hattie Carroll - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Evening",29,1
Okin,Ekspektasi,61,0
42 Dugg,4 Da Gang (with Roddy Ricch),77,0
The Beatles,In My Life - Remastered 2009,74,2
Bondan Prakoso,Not With Me,59,2
Wolfgang Amadeus Mozart,"Piano Sonata No. 8 in A Minor, K. 310: II. Andante cantabile con espressione",0,3
Magpie Jazz Trio,After You've Gone,57,3
The Dave Brubeck Quartet,Take Five,68,2
Isyana Sarasvati,Kau Adalah (feat. Rayi Putra),54,0
Kerispatih,Aku Harus Jujur,56,4
Ten2Five,Jali-Jali,4,0
Bryson Tiller,Been That Way,63,0
LESKY,Undercurrent,57,3
Nat King Cole,(I Love You) For Sentimental Reasons,60,2
Rod Stewart,"Sweet Little Rock 'n Roller - Live at Leicester, England, 12/4/1976",19,1
Kunto Aji,Selaras,57,2
RAN,Dekat Di Hati,63,2
The J. Geils Band,Centerfold,28,0
Thelonious Monk,I'm Confessin' (That I Love You),53,3
Teddy Adhitya,In Your Wonderland,55,2
Brent Faiyaz,Trust,78,0
Wolfgang Amadeus Mozart,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",0,3
J. Cole,m y . l i f e (with 21 Savage & Morray),81,4
Cody Jinks,Must Be The Whiskey,67,0
Meghan Trainor,Dear Future Husband,75,0
George Beverly Shea,Old Time Religion,26,2
Boston,Amanda,15,4
Sturgill Simpson,The Promise,51,2
Wolfgang Amadeus Mozart,"12 Variations on ""Ah vous dirai-je, maman"", K. 265: Var. II",2,3
Wolfgang Amadeus Mozart,"Die Zauberflöte, K. 620, Act II: Der Hölle Rache kocht in meinem Herzen",0,2
Music Travel Love,Heal the World,52,2
raissa anggiani,Losing Us.,62,2
Frankie Cosmos,Fool,74,4
Straight At Venue,Generasi Indonesiaku,0,4
Natasha Midori,Above All,50,2
NCT DREAM,Hello Future,72,4
Rihanna,Don't Stop The Music,65,0
Girls Planet 999,O.O.O (Over&Over&Over),71,0
Rich Brian,Who That Be,51,0
Dan Fogelberg,Sutter's Mill,28,2
Natasha Midori,I Need You More,42,4
Issam Alnajjar,Si Tu Vuelas - Hadal Ahbek [Alok Remix],63,4
Miles Davis,"Milestones (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)",56,0
Rod Stewart,I'll Stand By You,47,4
Tom T. Hall,Paradise,26,2
Wolfgang Amadeus Mozart,"La clemenza di Tito, K. 621: Act I: Del più sublime soglio (Tito)",0,2
Tony Bennett,I Get A Kick Out Of You,61,2
Tony Bennett,Christmas Time Is Here,56,2
The Cars,It's All I Can Do,16,0
Thomas Rhett,Unforgettable,69,0
The Statler Brothers,I'm Feeling Fine,20,1
Boombastic,Just a Friend 2002,0,0
Rizky Febian,Kesempurnaan Cinta,57,4
Matt and Kim,Daylight,68,0
Audioslave,Like a Stone,77,4
Galdive,Dear Matias,41,2
Peter Bjorn and John,Young Folks,76,0
Nat King Cole,L-O-V-E,72,2
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Three - For The Third Day Of Christmas: No. 26 Chor: ""Lasset uns nun gehen gen Bethlehem""",0,1
The Guess Who,Running Bear - Remastered,17,2
Paul McCartney,Twenty Flight Rock - Remastered 2019,28,0
Iwan Fals,Hidup Yang Hebat,2,0
NIKI,move!,47,0
Ello,Pergi Untuk Kembali,53,2
Eric Church,"Mistress Named Music - Live At Verizon Center, Washington, DC / May 19, 2017",24,1
Osvaldorio,Lotus,47,2
Adele,I Drink Wine,89,2
The Fixx,Deeper - Live,13,1
The Ink Spots,I Don't Want To Set The World On Fire,69,2
Ludovico Einaudi,Passaggio,0,3
Eddie Money,Two Tickets to Paradise,67,0
Nitty Gritty Dirt Band,Fishin' in the Dark,70,0
Cupid,Cupid Shuffle,64,0
The Doobie Brothers,Listen To The Music - Live,16,1
Tom Misch,It Runs Through Me,68,4
Helge Schneider,Hoffnung,4,2
Eli Young Band,Crazy Girl,71,4
Music Travel Love,Your Own Kinda Beautiful,50,0
EST Gee,Jumpout Gang,19,1
Kendrick Lamar,PRIDE.,76,4
Katy Perry,Firework,68,0
Pat Benatar,Heartbreaker - Remastered,26,0
Eartha Kitt,Santa Baby (with Henri René & His Orchestra),58,2
Heart,Break the Rock - Live,26,0
Ella Fitzgerald,It's Only A Paper Moon,0,2
ASTN,Happier Than Ever,80,4
Loggins & Messina,Rock & Roll Medley: My Music/Splish Splash/Boogie Man - Live Version,14,1
Hivi!,Pelangi,67,2
TAEMIN,Criminal,65,4
Flay!,In The Sky,29,0
Rick Springfield,Soul To Soul,17,0
Frédéric Chopin,"Nocturnes, Op. 32: No. 1, Andante sostenuto in B Major",0,3
Marshmello,Happier,84,0
Stacey Kent,Ces petits riens,65,2
Weird Genius,LATHI (with Sara Fajira) [R3HAB Remix],37,0
The Macarons Project,What A Wonderful World - Live Acoustic,50,2
Europe,The Final Countdown,77,4
BAEKHYUN,Cry For Love,63,0
Farizki,Heat Waves Slowed Reverb,72,2
Hanin Dhiya,Pupus,59,2
MAX,Butterflies,77,2
Grateful Dead,"The Music Never Stopped - Live at the Great American Music Hall, San Francisco, CA 8/13/75; 2017 Remaster",17,1
TOMORROW X TOGETHER,0X1=LOVESONG (I Know I Love You) feat. Seori,62,4
Summer Walker,Constant Bullshit,74,4
The Rolling Stones,Beast Of Burden - Remastered 1994,73,0
Kurosuke,Moscato,45,0
LESKY,Nightingale,57,3
John Denver,Prisoners,45,0
"Earth, Wind & Fire",September,70,0
Frédéric Chopin,"Fantaisie-impromptu in C-Sharp Minor, Op. 66",0,3
Stray Kids,Thunderous,81,0
Phoebe Bridgers,Motion Sickness,77,2
David Lee Murphy,Dust On The Bottle,71,0
MALIQ & D'Essentials,Bagaimana Kutahu,42,0
Taylor Swift,All Too Well (Taylor's Version),87,4
pH-1,365&7 (Feat. JAMIE),58,0
Chris Janson,Buy Me a Boat,69,0
NIKI,Spell,51,4
Grateful Dead,"Crazy Fingers / Drums - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",21,1
Shakin' Stevens,I Might,40,0
The Unraveled,Stanky,59,2
Mel McDaniel,Stand On It,38,0
Bryan Adams,Rock And Roll Music,8,0
Henry,Monster - English Version,59,2
Sam Tinnesz,Play with Fire (feat. Yacht Money),77,4
Twenty One Pilots,Stressed Out,85,0
Wolfgang Amadeus Mozart,"Piano Concerto No. 24 in C Minor, K. 491: II. Larghetto",0,3
iKON,LOVE SCENARIO,73,0
GAC (Gamaliél Audrey Cantika),Berlari Tanpa Kaki,54,2
Homicide (Indonesia),Barisan Nisan,19,4
Luke Combs,Even Though I'm Leaving,22,0
Bobby Darin,Beyond the Sea,60,2
Florida Georgia Line,H.O.L.Y.,71,2
Caravan Palace,Comics,57,4
Louis Armstrong,Christmas Night In Harlem - Single Version,0,2
The Chainsmokers,Call You Mine,76,0
5 Seconds of Summer,Teeth,79,4
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),73,0
Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",77,4
Hiatus Kaiyote,And We Go Gentle,55,0
Reality Club,A Sorrowful Reunion,51,2
Imagine Dragons,Natural,81,4
TWICE,I CAN'T STOP ME,78,0
NCT,Baby Don’t Stop,66,4
Cage The Elephant,Trouble,74,2
The Rock,Munajat Cinta,53,0
Jamey Johnson,Freedom to Stay - Live,33,1
JPCC Worship,More Than Enough,50,4
ST12,Jangan Pernah Berubah,54,4
Efek Rumah Kaca,Menjadi Indonesia,34,4
Future,Life Is Good (feat. Drake),81,4
Tim McGraw,What You're Lookin' For,28,0
Rick Springfield,Honeymoon In Beirut,24,0
Dean Martin,Silver Bells,73,2
Black Eyed Peas,Meet Me Halfway,67,4
Arash Buana,see u tomorrow - stripped,58,2
Capella Grey,GYALIS,75,0
Jimi Hendrix,Little Wing,71,4
Taylor Swift,Better Man (Taylor's Version) (From The Vault),82,4
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,25,2
Rich Brian,100 Degrees,28,0
Arsy Widianto,Bahaya,68,2
Raperin,Çawa,8,4
Juice WRLD,Life's A Mess (feat. Halsey),75,4
OneRepublic,Counting Stars,75,4
Pamungkas,To the Bone,81,0
HyunA,I'm Not Cool,73,0
Asleep At The Wheel,Trouble in Mind (feat. Lyle Lovett),32,2
Jason Isbell,Nobody Knows You When You're Down And Out,39,2
Tech N9ne Collabos,Straight Out the Gate: (The Scott Stevens Remix) - Bonus Track,59,1
Doris Day,"Perhaps, Perhaps, Perhaps",64,2
The Monkees,Unwrap You at Christmas,0,4
IU,Good day,62,0
Nick Jonas,Close,72,4
Sia,Under the Milky Way,0,4
BTS,Your eyes tell,74,4
Nahtan,lighthouse,39,2
Michael Ray,Whiskey And Rain,74,2
Bryson Tiller,cold december interlude,63,4
Vince Guaraldi Trio,Linus And Lucy,69,3
TWICE,Perfect World,68,0
LouiVos,Plezier,17,4
Bob Seger,Let It Rock/Little Queenie - Live In Detroit/1975,29,1
Otto,Hari Ini Tiada Cinta,0,2
Rihanna,Desperado,74,4
Sara Bareilles,Love Song,75,0
Meat Loaf,Rock 'n' Roll Mercenaries,9,0
2KBABY,Old Streets,0,2
Ella Mai,Boo'd Up,71,4
Imagine Dragons,It's Time,67,0
BTS,Awake,68,4
